gsm_id	title	organism	species_short	source_name	tissue	gender	replicate	developmental_stage	timing	coarse_stage	exact_stage_label	srx_accession	sra_relation	stage_sort_key	matrix_column
GSM8330943	Dmel embryo 10h 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	embryo	10h	embryo	embryo_10h	SRX24935395	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935395	20	embryo 10h 1
GSM8330944	Dmel embryo 10h 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	embryo	10h	embryo	embryo_10h	SRX24935396	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935396	20	embryo 10h 2
GSM8330945	Dmel embryo 10h 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	embryo	10h	embryo	embryo_10h	SRX24935397	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935397	20	embryo 10h 3
GSM8330946	Dmel larvae 1instar 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	larvae	1instar	larva	larvae_1instar	SRX24935398	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935398	101	larvae 1st instar 1
GSM8330947	Dmel larvae 2instar 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	larvae	2instar	larva	larvae_2instar	SRX24935399	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935399	102	larvae 2nd instar 1
GSM8330948	Dmel larvae 3instar 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	larvae	3instar	larva	larvae_3instar	SRX24935400	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935400	103	larvae 3rd instar 1
GSM8330949	Dmel pupae P1 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P1	pupa	pupae_P1	SRX24935401	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935401	201	pupae P1 1
GSM8330950	Dmel pupae P1 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P1	pupa	pupae_P1	SRX24935402	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935402	201	pupae P1 2
GSM8330951	Dmel pupae P1 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P1	pupa	pupae_P1	SRX24935403	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935403	201	pupae P1 3
GSM8330952	Dmel pupae P2 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P2	pupa	pupae_P2	SRX24935404	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935404	202	pupae P2 1
GSM8330953	Dmel pupae P2 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P2	pupa	pupae_P2	SRX24935405	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935405	202	pupae P2 2
GSM8330954	Dmel pupae P2 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P2	pupa	pupae_P2	SRX24935406	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935406	202	pupae P2 3
GSM8330955	Dmel pupae P3 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P3	pupa	pupae_P3	SRX24935407	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935407	203	pupae P3 1
GSM8330956	Dmel pupae P3 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P3	pupa	pupae_P3	SRX24935408	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935408	203	pupae P3 2
GSM8330957	Dmel pupae P3 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P3	pupa	pupae_P3	SRX24935409	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935409	203	pupae P3 3
GSM8330958	Dmel pupae P4 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P4	pupa	pupae_P4	SRX24935410	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935410	204	pupae P4 1
GSM8330959	Dmel pupae P4 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P4	pupa	pupae_P4	SRX24935423	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935423	204	pupae P4 2
GSM8330960	Dmel pupae P4 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P4	pupa	pupae_P4	SRX24935424	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935424	204	pupae P4 3
GSM8330961	Dmel pupae P5 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P5	pupa	pupae_P5	SRX24935425	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935425	205	pupae P5 1
GSM8330962	Dmel pupae P5 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P5	pupa	pupae_P5	SRX24935426	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935426	205	pupae P5 2
GSM8330963	Dmel pupae P5 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P5	pupa	pupae_P5	SRX24935427	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935427	205	pupae P5 3
GSM8330964	Dmel pupae 24h 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	24h	pupa	pupae_24h	SRX24935428	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935428	324	pupae 24h 1
GSM8330965	Dmel pupae 24h 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	24h	pupa	pupae_24h	SRX24935429	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935429	324	pupae 24h 2
GSM8330966	Dmel pupae 24h 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	24h	pupa	pupae_24h	SRX24935430	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935430	324	pupae 24h 3
GSM8330967	Dmel pupae 48h 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	48h	pupa	pupae_48h	SRX24935431	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935431	348	pupae 48h 1
GSM8330968	Dmel pupae 48h 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	48h	pupa	pupae_48h	SRX24935432	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935432	348	pupae 48h 2
GSM8330969	Dmel pupae 48h 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	48h	pupa	pupae_48h	SRX24935433	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935433	348	pupae 48h 3
GSM8330970	Dmel imago 5d 1	Drosophila melanogaster	Dmel	whole body	whole body	male	biol rep 1	imago	5d	adult	imago_5d	SRX24935434	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935434	405	adults 5d 1
GSM8330971	Dmel imago 5d 2	Drosophila melanogaster	Dmel	whole body	whole body	male	biol rep 2	imago	5d	adult	imago_5d	SRX24935435	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935435	405	adults 5d 2
GSM8330972	Dmel imago 5d 3	Drosophila melanogaster	Dmel	whole body	whole body	male	biol rep 3	imago	5d	adult	imago_5d	SRX24935436	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935436	405	adults 5d 3
