gsm_id	title	organism	species_short	source_name	tissue	gender	replicate	developmental_stage	timing	coarse_stage	exact_stage_label	srx_accession	sra_relation
GSM8330943	Dmel embryo 10h 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	embryo	10h	embryo	embryo_10h	SRX24935395	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935395
GSM8330944	Dmel embryo 10h 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	embryo	10h	embryo	embryo_10h	SRX24935396	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935396
GSM8330945	Dmel embryo 10h 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	embryo	10h	embryo	embryo_10h	SRX24935397	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935397
GSM8330946	Dmel larvae 1instar 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	larvae	1instar	larva	larvae_1instar	SRX24935398	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935398
GSM8330947	Dmel larvae 2instar 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	larvae	2instar	larva	larvae_2instar	SRX24935399	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935399
GSM8330948	Dmel larvae 3instar 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	larvae	3instar	larva	larvae_3instar	SRX24935400	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935400
GSM8330949	Dmel pupae P1 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P1	pupa	pupae_P1	SRX24935401	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935401
GSM8330950	Dmel pupae P1 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P1	pupa	pupae_P1	SRX24935402	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935402
GSM8330951	Dmel pupae P1 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P1	pupa	pupae_P1	SRX24935403	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935403
GSM8330952	Dmel pupae P2 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P2	pupa	pupae_P2	SRX24935404	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935404
GSM8330953	Dmel pupae P2 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P2	pupa	pupae_P2	SRX24935405	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935405
GSM8330954	Dmel pupae P2 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P2	pupa	pupae_P2	SRX24935406	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935406
GSM8330955	Dmel pupae P3 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P3	pupa	pupae_P3	SRX24935407	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935407
GSM8330956	Dmel pupae P3 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P3	pupa	pupae_P3	SRX24935408	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935408
GSM8330957	Dmel pupae P3 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P3	pupa	pupae_P3	SRX24935409	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935409
GSM8330958	Dmel pupae P4 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P4	pupa	pupae_P4	SRX24935410	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935410
GSM8330959	Dmel pupae P4 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P4	pupa	pupae_P4	SRX24935423	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935423
GSM8330960	Dmel pupae P4 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P4	pupa	pupae_P4	SRX24935424	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935424
GSM8330961	Dmel pupae P5 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	P5	pupa	pupae_P5	SRX24935425	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935425
GSM8330962	Dmel pupae P5 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	P5	pupa	pupae_P5	SRX24935426	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935426
GSM8330963	Dmel pupae P5 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	P5	pupa	pupae_P5	SRX24935427	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935427
GSM8330964	Dmel pupae 24h 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	24h	pupa	pupae_24h	SRX24935428	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935428
GSM8330965	Dmel pupae 24h 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	24h	pupa	pupae_24h	SRX24935429	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935429
GSM8330966	Dmel pupae 24h 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	24h	pupa	pupae_24h	SRX24935430	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935430
GSM8330967	Dmel pupae 48h 1	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 1	pupae	48h	pupa	pupae_48h	SRX24935431	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935431
GSM8330968	Dmel pupae 48h 2	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 2	pupae	48h	pupa	pupae_48h	SRX24935432	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935432
GSM8330969	Dmel pupae 48h 3	Drosophila melanogaster	Dmel	whole body	whole body	unknown	biol rep 3	pupae	48h	pupa	pupae_48h	SRX24935433	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935433
GSM8330970	Dmel imago 5d 1	Drosophila melanogaster	Dmel	whole body	whole body	male	biol rep 1	imago	5d	adult	imago_5d	SRX24935434	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935434
GSM8330971	Dmel imago 5d 2	Drosophila melanogaster	Dmel	whole body	whole body	male	biol rep 2	imago	5d	adult	imago_5d	SRX24935435	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935435
GSM8330972	Dmel imago 5d 3	Drosophila melanogaster	Dmel	whole body	whole body	male	biol rep 3	imago	5d	adult	imago_5d	SRX24935436	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935436
GSM8330973	Dvir embryo 15h 1	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 1	embryo	15h	embryo	embryo_15h	SRX24935437	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935437
GSM8330974	Dvir embryo 15h 2	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 2	embryo	15h	embryo	embryo_15h	SRX24935438	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935438
GSM8330975	Dvir embryo 15h 3	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 3	embryo	15h	embryo	embryo_15h	SRX24935439	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935439
GSM8330976	Dvir larvae 2instar 1	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 1	larvae	2instar	larva	larvae_2instar	SRX24935440	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935440
GSM8330977	Dvir larvae 2instar 2	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 2	larvae	2instar	larva	larvae_2instar	SRX24935441	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935441
GSM8330978	Dvir larvae 2instar 3	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 3	larvae	2instar	larva	larvae_2instar	SRX24935442	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935442
GSM8330979	Dvir pupae P1 1	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 1	pupae	P1	pupa	pupae_P1	SRX24935443	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935443
GSM8330980	Dvir pupae P1 2	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 2	pupae	P1	pupa	pupae_P1	SRX24935444	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935444
GSM8330981	Dvir pupae P1 3	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 3	pupae	P1	pupa	pupae_P1	SRX24935445	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935445
GSM8330982	Dvir pupae P2 1	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 1	pupae	P2	pupa	pupae_P2	SRX24935446	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935446
GSM8330983	Dvir pupae P2 2	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 2	pupae	P2	pupa	pupae_P2	SRX24935447	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935447
GSM8330984	Dvir pupae P2 3	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 3	pupae	P2	pupa	pupae_P2	SRX24935448	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935448
GSM8330985	Dvir pupae P3 1	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 1	pupae	P3	pupa	pupae_P3	SRX24935449	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935449
GSM8330986	Dvir pupae P3 2	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 2	pupae	P3	pupa	pupae_P3	SRX24935450	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935450
GSM8330987	Dvir pupae P3 3	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 3	pupae	P3	pupa	pupae_P3	SRX24935451	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935451
GSM8330988	Dvir pupae P4 1	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 1	pupae	P4	pupa	pupae_P4	SRX24935452	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935452
GSM8330989	Dvir pupae P4 2	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 2	pupae	P4	pupa	pupae_P4	SRX24935453	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935453
GSM8330990	Dvir pupae P4 3	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 3	pupae	P4	pupa	pupae_P4	SRX24935454	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935454
GSM8330991	Dvir pupae P5 1	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 1	pupae	P5	pupa	pupae_P5	SRX24935411	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935411
GSM8330992	Dvir pupae P5 2	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 2	pupae	P5	pupa	pupae_P5	SRX24935412	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935412
GSM8330993	Dvir pupae P5 3	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 3	pupae	P5	pupa	pupae_P5	SRX24935413	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935413
GSM8330994	Dvir pupae 36h 1	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 1	pupae	36h	pupa	pupae_36h	SRX24935414	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935414
GSM8330995	Dvir pupae 36h 2	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 2	pupae	36h	pupa	pupae_36h	SRX24935415	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935415
GSM8330996	Dvir pupae 36h 3	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 3	pupae	36h	pupa	pupae_36h	SRX24935416	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935416
GSM8330997	Dvir pupae 72h 1	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 1	pupae	72h	pupa	pupae_72h	SRX24935417	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935417
GSM8330998	Dvir pupae 72h 2	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 2	pupae	72h	pupa	pupae_72h	SRX24935418	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935418
GSM8330999	Dvir pupae 72h 3	Drosophila virilis	Dvir	whole body	whole body	unknown	biol rep 3	pupae	72h	pupa	pupae_72h	SRX24935419	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935419
GSM8331000	Dvir imago 5d 1	Drosophila virilis	Dvir	whole body	whole body	male	biol rep 1	imago	5d	adult	imago_5d	SRX24935420	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935420
GSM8331001	Dvir imago 5d 2	Drosophila virilis	Dvir	whole body	whole body	male	biol rep 2	imago	5d	adult	imago_5d	SRX24935421	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935421
GSM8331002	Dvir imago 5d 3	Drosophila virilis	Dvir	whole body	whole body	male	biol rep 3	imago	5d	adult	imago_5d	SRX24935422	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX24935422
